question,example,reasoning,solution
Implement a graph data structure to represent a directed acyclic graph (DAG) and find the topological sort of the graph.,"Input: A directed graph with nodes A, B, C, D, E, F, G, H, I, J, K, L, M, N, O, P, Q, R, S, T, U, V, W, X, Y, Z, where A -> B, A -> C, B -> D, B -> E, C -> D, C -> F, D -> G, D -> H, E -> I, F -> G, F -> H, G -> J, H -> J, I -> K, J -> L, K -> M, L -> M, M -> N, N -> O, N -> P, O -> Q, P -> R, P -> S, Q -> T, R -> U, R -> V, S -> U, S -> V, T -> W, T -> X, U -> Y, V -> Y, W -> Z, X -> Z; Output: [A, B, C, D, E, F, G, H, I, K, J, L, M, N, O, P, Q, R, S, T, U, V, W, X, Y, Z]",We represent the graph using adjacency lists and perform a Depth-First Search (DFS) to find the topological sort. We use a visited list to keep track of the nodes we have visited and a stack to store the nodes in topological order.,"class Graph:
    def __init__(self):
        self.adj = {} 
    def add_edge(self, u, v):
        if u not in self.adj:
            self.adj[u] = []
        self.adj[u].append(v)
    def topological_sort(self):
        visited = set()
        stack = []
        for node in self.adj:
            if node not in visited:
                self.dfs(node, visited, stack)
        return list(reversed(stack))
    def dfs(self, node, visited, stack):
        visited.add(node)
        for neighbor in self.adj[node]:
            if neighbor not in visited:
                self.dfs(neighbor, visited, stack)
        stack.append(node)"
Write a program to find the second largest number in a list.,"Input: [1, 3, 5, 7, 9]; Output: 7",We first find the largest number in the list and then remove it from the list. The remaining largest number is the second largest number.,"def second_largest(arr):
    max1, max2 = float('-inf'), float('-inf')
    for num in arr:
        if num > max1:
            max2 = max1
            max1 = num
        elif num > max2 and num != max1:
            max2 = num
    if max1 == max2:
        return -1
    return max2

    arr = [1, 3, 5, 7, 9]
    print(second_largest(arr))"
Luba has an array of integers. She wants to find the maximum sum of a contiguous subarray. Find the maximum sum of a contiguous subarray.,"Input: [1, -2, 3, 10, -4, 7, 2, -5]
Output: 18","To find the maximum sum of a contiguous subarray, we can use Kadane's algorithm. We initialize the maximum sum to the first element of the array. For each element, we update the maximum sum to the maximum of the current sum and the sum of the current element and the maximum sum of the previous elements. In the example, the maximum sum of a contiguous subarray is 18, which is the sum of the elements from index 3 to index 6.","```python
def max_subarray_sum(arr):
    max_so_far = arr[0]
    max_ending_here = arr[0]
    for i in range(1, len(arr)):
        max_ending_here = max(arr[i], max_ending_here + arr[i])
        max_so_far = max(max_so_far, max_ending_here)
    return max_so_far

arr = [1, -2, 3, 10, -4, 7, 2, -5]
print(max_subarray_sum(arr))```"
Implement a Min Heap using an array to sort a list of numbers in ascending order.,"Input: [5, 3, 6, 1, 4]; Output: [1, 3, 4, 5, 6]","1. Initialize an empty list to store the heap.
2. Insert the numbers into the heap using the build_heap function.
3. Implement the heapify function to maintain the heap property.
4. Implement the extract_min function to remove and return the smallest number.","def build_heap(arr):
    n = len(arr)
    for i in range(n // 2 - 1, -1, -1):
        heapify(arr, n, i)

def heapify(arr, n, i):
    left = 2 * i + 1
    right = 2 * i + 2
    smallest = i
    if left < n and arr[left] < arr[smallest]:
        smallest = left
    if right < n and arr[right] < arr[smallest]:
        smallest = right
    if smallest != i:
        arr[i], arr[smallest] = arr[smallest], arr[i]
        heapify(arr, n, smallest)

def extract_min(arr):
    if len(arr) == 0:
        return None
    temp = arr[0]
    arr[0] = arr[len(arr) - 1]
    arr.pop()
    heapify(arr, len(arr) - 1, 0)
    return temp

numbers = [5, 3, 6, 1, 4]
heap = []
build_heap(numbers)
for number in numbers:
    heap.append(number)
print([extract_min(heap) for _ in range(len(numbers))])"
"Given an array of integers, find the contiguous subarray with the maximum sum.","Input: [-2, 1, -3, 4, -1, 2, 1, -5, 4]
Output: 6","To find the maximum sum subarray, we can use the Kadane's algorithm. The idea is to keep track of the maximum sum subarray ending at the current index and the maximum sum subarray found so far.","```python
def maxSubArraySum(arr):
    max_so_far = arr[0]
    current_max = arr[0]
    for i in range(1, len(arr)):
        current_max = max(arr[i], current_max + arr[i])
        max_so_far = max(max_so_far, current_max)
    return max_so_far
```"
"Given a dictionary containing words, find the word with the maximum number of unique characters.","Input: {'cat': 3, 'dog': 2, 'rat': 3, 'bat': 3, 'mat': 3}; Output: 'bat'","To find the word with the maximum number of unique characters, we need to iterate through the dictionary and count the number of unique characters in each word. Then, we need to find the word with the maximum count.","```python
def max_unique_char_word(words_dict):
    max_count = 0
    max_word = None
    for word, count in words_dict.items():
        unique_chars = set(word)
        if len(unique_chars) > max_count:
            max_count = len(unique_chars)
            max_word = word
    return max_word
```"
"Given a binary tree, find the maximum sum of a path from any node to any leaf.","Input: [1, 2, 3, 4, None, 5, None, 6, None, 7]
Output: 18","To find the maximum sum of a path from any node to any leaf, we can use a depth-first search (DFS) algorithm. In each recursive call, we calculate the sum of the current node and the maximum sum of the left and right subtrees. We keep track of the maximum sum found so far.","```python
class TreeNode:
    def __init__(self, x):
        self.val = x
        self.left = None
        self.right = None

root = TreeNode(1)
root.left = TreeNode(2)
root.right = TreeNode(3)
root.left.left = TreeNode(4)
root.right.right = TreeNode(5)
root.right.right.right = TreeNode(6)
root.right.right.right.right = TreeNode(7)

max_sum = float('-inf')
def dfs(node):
    if node is None:
        return 0
    left_sum = dfs(node.left)
    right_sum = dfs(node.right)
    max_sum_left_to_right = max(left_sum, 0) + node.val + right_sum
    max_sum_right_to_left = max(right_sum, 0) + node.val + left_sum
    max_sum = max(max_sum_left_to_right, max_sum_right_to_left)
    max_sum = max(max_sum, node.val)
    return max_sum

max_sum = dfs(root)
print(max_sum)```"
Implement a program that uses a stack to find the postfix evaluation of an arithmetic expression.,"Input: 3 4 + 5 *
Output: 45","The solution involves initializing an empty stack and iterating through the input string. For each operator, it performs the operation on the top two elements of the stack and removes them. For each number, it pushes it onto the stack. Finally, it returns the result on the stack.","```python
input_str = input()
stack = []
ops = {'+': lambda a, b: a + b, '-': lambda a, b: a - b, '*': lambda a, b: a * b, '/': lambda a, b: a / b}
for token in input_str.split(): 	if token.isdigit(): 		stack.append(int(token)) 	else: 		operand2 = stack.pop() 		operand1 = stack.pop() 		stack.append(ops[token](operand1, operand2))
print(stack[0])``"
Implement a dictionary to store the frequency of words in a given text. The text is a string.,"Input: text = 'The quick brown fox jumps over the lazy dog. The quick brown fox jumps again.'; Output: {'The': 2, 'quick': 2, 'brown': 2, 'fox': 2, 'jumps': 2, 'over': 1, 'lazy': 1, 'dog.': 1}","A dictionary is a collection of key-value pairs. In this problem, we want to store the frequency of each word in a given text. We can split the text into words, create a dictionary, and increment the count for each word as we encounter it.","text = 'The quick brown fox jumps over the lazy dog. The quick brown fox jumps again.'
words = text.split()
dict = {} 
for word in words:
    if word in dict:
        dict[word] += 1
    else:
        dict[word] = 1
dict['.' + text[-1]] += 1
print(dict)"
Implement a Graph data structure using adjacency list representation.,"Input: Vertices: 5; Edges: (0, 1), (0, 3), (1, 2), (1, 3), (1, 5), (2, 4), (3, 4); Output: [[1, 3], [0, 2, 3], [0, 1, 5], [1, 3, 4], [2, 4]]",A Graph is a non-linear data structure that can be used to represent a network of objects where each object is connected to other objects. The adjacency list representation is one of the ways to represent a graph where each vertex is represented by a list of its adjacent vertices.,"```python
class Graph:
    def __init__(self, vertices):
        self.graph = [[0 for _ in range(vertices)] for _ in range(vertices)]

    def add_edge(self, u, v):
        self.graph[u].append(v)

# Test the Graph data structure
graph = Graph(5)
graph.add_edge(0, 1)
graph.add_edge(0, 3)
graph.add_edge(1, 2)
graph.add_edge(1, 3)
graph.add_edge(1, 5)
graph.add_edge(2, 4)
graph.add_edge(3, 4)
print(graph.graph)```"
Write a function that finds the intersection of two sets using the & operator.,"Input: set1 = {1, 2, 3, 4}; set2 = {2, 3, 4, 5}; Output: {2, 3, 4}",We can use the & operator to find the intersection of two sets. This operator returns a new set that contains only the elements that are present in both sets.,"def intersection(set1, set2):
    return set1 & set2"
Implement a Queue data structure using Python's built-in list.,"Input: Enqueue 1, 2, 3
Dequeue
Enqueue 4
Dequeue
Dequeue
Output: [1, 2, 3, 4]","A Queue is a collection of elements with a first-in-first-out (FIFO) ordering. In Python, we can implement a Queue using a list and two pointers: one for the front of the queue and another for the rear.","```python
class Queue: 
    def __init__(self): 
        self.queue = []
    
    def enqueue(self, item): 
        self.queue.append(item)
    
    def dequeue(self): 
        if len(self.queue) == 0:
            return None
        return self.queue.pop(0)
    
    def size(self): 
        return len(self.queue)

# Test the Queue
q = Queue()
q.enqueue(1)
q.enqueue(2)
q.enqueue(3)
print(q.size())
print(q.dequeue())
print(q.size())
q.enqueue(4)
print(q.size())
print(q.dequeue())
print(q.dequeue())
print(q.dequeue())
print(q.size())```"
"Given a graph represented as an adjacency list, find the shortest path between two nodes using Breadth-First Search (BFS).","Input: adjacency_list = [ [], [2, 3], [1], [1, 3], [2, 4] ], start_node = 0, end_node = 4
Output: 3","1. Initialize a queue to store the nodes to be visited. 
2. Initialize a dictionary to store the shortest path from the start node to each node. 
3. Enqueue the start node and set its distance to 0. 
4. While the queue is not empty, dequeue a node and explore its neighbors. If a neighbor is not visited, enqueue it with its distance updated. 
5. If the end node is dequeued, return the distance from the start node to the end node.","from collections import defaultdict, deque

adj_list = defaultdict(list)
distances = {node: float('inf') for node in adj_list}
distances[0] = 0
prev = {node: None for node in adj_list}
queue = deque([(0, 0)])

while queue:
    node, distance = queue.popleft()
    for neighbor in adj_list[node]:
        if distances[neighbor] > distances[node] + 1:
            distances[neighbor] = distances[node] + 1
            queue.append((neighbor, distances[neighbor]))
            prev[neighbor] = node

if end_node in distances:
    print(distances[end_node])
else:
    print('No path found')
print('Shortest path:', end_node, prev[end_node], prev[prev[end_node]], ..., prev[0])"
Implement a function to find the kth largest element in a list of integers using the QuickSelect algorithm.,"Input: [3, 5, 1, 7, 2, 9, 4, 6, 8]
k = 3
Output: 7","To solve this problem, we first read the input data and define a function to implement the QuickSelect algorithm. This function uses a partitioning technique to divide the list into two parts: elements smaller than the pivot and elements greater than or equal to the pivot. We recursively call the function on the appropriate sublist until we find the kth largest element. Finally, we return the kth largest element.","def partition(arr, low, high):
    pivot = arr[high]
    i = low - 1
    for j in range(low, high):
        if arr[j] <= pivot:
            i += 1
            arr[i], arr[j] = arr[j], arr[i]
    arr[i+1], arr[high] = arr[high], arr[i+1]
    return i+1

def quickselect(arr, k):
    if len(arr) == k:
        return arr[k-1]
    low, high = 0, len(arr)-1
    pivot_index = partition(arr, low, high)
    if k == pivot_index + 1:
        return arr[pivot_index]
    elif k < pivot_index + 1:
        return quickselect(arr[:pivot_index], k)
    else:
        return quickselect(arr[pivot_index+1:], k-pivot_index-1)

arr = list(map(int, input().strip().split()))
k = int(input())
print(quickselect(arr, k))"
"Implement a stack data structure using Python list and perform basic operations like push, pop, and peek.","Input: A list of integers.
Output: A list of integers with the same elements but in reversed order.","We can solve this problem by using a list to simulate a stack. The push operation appends an element to the end of the list, the pop operation removes and returns the last element of the list, and the peek operation returns the last element of the list without removing it.","```python
def push(stack, item):
    stack.append(item)

def pop(stack):
    if stack:
        return stack.pop()
    else:
        raise IndexError('The stack is empty')

def peek(stack):
    if stack:
        return stack[-1]
    else:
        raise IndexError('The stack is empty')
```"
Implement a MinHeap data structure and use it to find the kth smallest element in an unsorted array of integers.,"Input: [17, 24, 9, 16, 131, 64, 31, 18, 12, 42], k = 4; Output: 12","A MinHeap is a complete binary tree where each parent node is smaller than its children. To find the kth smallest element in an unsorted array, we can convert the array into a MinHeap and then remove the smallest elements until we have k elements left. The smallest element remaining in the heap is the kth smallest element in the original array.","import heapq

def kth_smallest(arr, k):
    heap = arr[:k]
    heapq.heapify(heap)
    for num in arr[k:]:
        if len(heap) > k:
            if num < heap[0]:
                heapq.heappop(heap)
                heapq.heappush(heap, num)
    return heap[0]"
"Given a set of integers, find the smallest pair of numbers that have a difference of exactly k.","Input: {1, 5, 10, 15, 20}
k = 3
Output: (10, 7) (since 10 - 7 = 3 and 7 is not in the set, we can add 6 to the set and find the pair (10, 4))","We can solve this problem by iterating through the set and for each number, we check if the difference between the number and the remaining numbers in the set is equal to k. If we find such a pair, we return it. If not, we add the remaining numbers to a new set and continue the process.","```python

numbers = set(map(int, input().split()))
k = int(input())

new_numbers = numbers.copy()
for number in numbers:
    for diff in range(1, k + 1):
        if number + diff in new_numbers and number - diff in new_numbers:
            print(number, number + diff)
            break
    else:
        new_numbers.add(number - k)
        new_numbers.add(number + k)

if len(new_numbers) > 0:
    print('No such pair exists')
```"
"Implement a queue data structure using a list and perform the enqueue, dequeue, and check_if_empty operations.","Input: enqueue(1), enqueue(2), dequeue(), enqueue(3), check_if_empty()
Output: 1, 2, None, 3","A queue is a collection of elements ordered for processing. The enqueue operation adds an element to the back of the queue, the dequeue operation removes an element from the front of the queue, and the check_if_empty operation checks if the queue is empty.","```python
class Queue:
    def __init__(self):
        self.queue = []
    def enqueue(self, item):
        self.queue.append(item)
    def dequeue(self):
        if not self.queue:
            return None
        return self.queue.pop(0)
    def check_if_empty(self):
        return len(self.queue) == 0
```"
"Given a binary tree, find the maximum sum of a path from any node to any other node in the tree. The tree has positive integers as data in its nodes.","Input: [1, 2, 3, 4, None, 5, 6]
Output: 11","We can solve this problem by performing a Depth-First Search (DFS) on the tree. For each node, we calculate the maximum sum of a path from the node to any other node by considering the node's value, the maximum sum of a path from the left subtree, and the maximum sum of a path from the right subtree. We store the maximum sum found so far.","from typing import Optional
class TreeNode:
    def __init__(self, val=0, left=None, right=None):
        self.val = val
        self.left = left
        self.right = right

def maxPathSum(root: Optional[TreeNode]) -> int:
    max_sum, current_sum = float('-inf'), root.val
    if root is None:
        return 0
    if not root.left and not root.right:
        return root.val
    left_sum = max(0, maxPathSum(root.left))
    right_sum = max(0, maxPathSum(root.right))
    current_sum = max(left_sum, right_sum) + root.val
    max_sum = max(max_sum, current_sum, left_sum + right_sum)
    return max_sum"
Write a program to find the second largest number in a list of integers. The list can contain duplicate values.,"Input: [1, 2, 3, 2, 1, 3]; Output: 3","To find the second largest number, we first sort the list in descending order. Then, we return the second element of the sorted list.","```python
arr = [1, 2, 3, 2, 1, 3]
sorted_arr = sorted(arr, reverse=True)
if len(arr) < 2:
    print('List is empty or contains only one element')
else:
    print(sorted_arr[1])```"
Implement a Queue data structure using a list.,"Input: enqueue(1), enqueue(2), dequeue(), enqueue(3), dequeue(), dequeue(), dequeue()
Output: 1, 2, 3","A Queue is a collection of elements with a first-in-first-out (FIFO) ordering. In this implementation, we use a list to store the queue elements and two indices to keep track of the front and rear of the queue. The enqueue operation adds an element to the rear of the queue, and the dequeue operation removes an element from the front of the queue.","```python
class Queue:
    def __init__(self):
        self.queue = []
    def enqueue(self, item):
        self.queue.append(item)
    def dequeue(self):
        if len(self.queue) == 0:
            raise IndexError('The queue is empty')
        return self.queue.pop(0)

q = Queue()
q.enqueue(1)
q.enqueue(2)
print(q.dequeue())
q.enqueue(3)
print(q.dequeue())
print(q.dequeue())
print(q.dequeue())
```"
Implement a set data structure to find the intersection of two lists.,"Input: [1, 2, 3, 4, 5], [3, 4, 5, 6, 7]; Output: [3, 4, 5]","We can use a set to store the elements of the first list and then check if each element of the second list is in the set. If it is, we add it to the result set.","def intersection(lst1, lst2):
    set1 = set(lst1)
    return set(x for x in lst2 if x in set1)"
Implement a min-heap data structure and find the kth smallest element in an unsorted array.,"Input: [17, 4, 18, 2, 3, 19]; k = 3; Output: 2","We can use a min-heap to store the k smallest elements found so far. Initially, we insert the first k elements of the array into the heap. Then, for each subsequent element, we remove the smallest element from the heap and insert the new element if its value is smaller than the smallest element in the heap. The kth smallest element is the smallest element in the heap after processing the entire array.","```python
import heapq

k = int(input())
arr = list(map(int, input().split()))
heap = []

for i in range(k):
    heapq.heappush(heap, arr[i])

for i in range(k, len(arr)):
    heapq.heappop(heap)
    heapq.heappush(heap, arr[i])
    if len(heap) == k:
        smallest = heap[0]
print(smallest)```"
"Given a set of integers, find the number of unique subsets with a sum equal to a given target.","Input: [1, 2, 3, 4]; target = 5
Output: 3 (subsets: {1, 2, 2}, {1, 3, 1}, {2, 2, 1})","We use a recursive backtracking algorithm to generate all subsets of the given set and check if their sum equals the target. We use a set to store the current subset and a dictionary to store the number of subsets with each sum. If we find a subset with the target sum, we return the count from the dictionary.","```python

from collections import defaultdict

def subset_sum(arr, target):
    def backtrack(i, curr_sum, curr_set):
        if curr_sum > target:
            return
        if curr_sum == target:
            d[curr_sum].add(tuple(sorted(curr_set)))
            return
        for j in range(i, len(arr)):
            backtrack(j + 1, curr_sum + arr[j], curr_set.union({arr[j]}))
    d = defaultdict(int)
    backtrack(0, 0, set())
    return d[target]

# Test
arr = [1, 2, 3, 4]
target = 5
print(subset_sum(arr, target))```"
Implement a function to find the kth largest element in a list.,"Input: [3, 1, 2, 5, 6, 4]
k = 3
Output: 4","1. Sort the list in descending order.
2. Return the kth element from the sorted list.","def kth_largest(nums, k):
    nums.sort(reverse=True)
    return nums[k-1]

nums = [3, 1, 2, 5, 6, 4]
k = 3
print(kth_largest(nums, k))"
"Given an array of integers, find the maximum sum of a contiguous subarray within the array.","Input: [1, -2, 3, 10, -4, 7, 2]; Output: 18","To find the maximum sum of a contiguous subarray, we can use the Kadane's algorithm. The algorithm maintains the maximum sum ending at the current position and the maximum sum found so far.","```python
def max_subarray_sum(arr):
    max_so_far = max_ending_here = arr[0]
    for i in range(1, len(arr)):
        max_ending_here = max(arr[i], max_ending_here + arr[i])
        max_so_far = max(max_so_far, max_ending_here)
    return max_so_far
```"
"Implement a binary tree using the standard Python list data structure. The tree should have the following methods: insert, delete, and find_min. The insert method should add a new node to the tree, the delete method should remove a node from the tree, and the find_min method should return the minimum value in the tree.","Input: []
Output: []
Input: [1]
Output: [1]
Input: [1, 2]
Output: [1]
Input: [1, 2, 3]
Output: [1]
Input: [1, 2, 3, 4]
Output: [1]
Input: [1, 2, 3, 4, None, 5, None, None, 6]
Output: [1]
Input: [1, 2, 3, 4, None, 5, None, None, 6]
Output: 4","The binary tree is a data structure that organizes data in a hierarchical tree-like structure. Each node in the tree has at most two children, called the left child and the right child. The tree can be represented as a list where the root node is at index 0, the left child of the root node is at index 2*i+1, and the right child of the root node is at index 2*i+2. The insert method adds a new node to the tree by finding the appropriate position for the new node and shifting the existing nodes to make room for the new node. The delete method removes a node from the tree by finding the node to be deleted and rearranging the tree to fill the gap left by the deleted node. The find_min method finds the minimum value in the tree by traversing the tree from the root node to the leftmost leaf node.","```python
class Node:
    def __init__(self, value=None):
        self.value = value
        self.left = None
        self.right = None

def binary_tree():
    def insert(tree, value):
        if tree is None:
            tree = Node(value)
        else:
            if value < tree.value:
                tree.left = insert(tree.left, value)
            else:
                tree.right = insert(tree.right, value)
        return tree
    def delete(tree, value):
        if tree is None:
            return None
        if value < tree.value:
            tree.left = delete(tree.left, value)
        elif value > tree.value:
            tree.right = delete(tree.right, value)
        else:
            if tree.left is None and tree.right is None:
                return None
            elif tree.left is None:
                return tree.right
            elif tree.right is None:
                return tree.left
            else:
                min_value = find_min(tree.right)
                tree.value = min_value
                tree.right = delete(tree.right, min_value)
        return tree
    def find_min(tree):
        if tree is None:
            return None
        if tree.left is None:
            return tree.value
        return find_min(tree.left)
# Example usage:
bt = []
# ... (insert nodes)
print(find_min(bt))```"
Implement a Min Heap using a list to sort a list of integers.,"Input: [12, 11, 13, 5, 6, 7]
Output: [5, 6, 7, 11, 12, 13]","A Min Heap is a complete binary tree where each parent node is smaller than or equal to its children. It can be implemented using a list by maintaining the heap property: for each node i, the value of its children (if they exist) should be greater than or equal to i.","```python
def min_heapify(arr, n, i):
    left = 2 * i + 1
    right = 2 * i + 2
    smallest = i
    if left < n and arr[left] < arr[smallest]:
        smallest = left
    if right < n and arr[right] < arr[smallest]:
        smallest = right
    if smallest != i:
        arr[i], arr[smallest] = arr[smallest], arr[i]
        min_heapify(arr, n, smallest)

def build_min_heap(arr):
    n = len(arr)
    for i in range(n // 2 - 1, -1, -1):
        min_heapify(arr, n, i)

def heap_sort(arr):
    build_min_heap(arr)
    for i in range(len(arr) - 1, 0, -1):
        arr[0], arr[i] = arr[i], arr[0]
        min_heapify(arr, i, 0)
    return arr

# Example usage:
arr = [12, 11, 13, 5, 6, 7]
print(heap_sort(arr))```"
