question,example,reasoning,solution
Implement a pointer-based algorithm to find the longest common substring between two strings.,"Input: 'abcde', 'cbdef'; Output: 'de'","We use two pointers, one for each string, to traverse the strings simultaneously. If the characters at the current positions of both pointers are the same, we move both pointers forward and continue the comparison. If the characters are not the same, we move the pointer of the shorter string forward. We keep track of the longest common substring found so far.","def lcs(s1, s2):
    m = len(s1)
    n = len(s2)
    dp = [[0] * (n + 1) for _ in range(m + 1)]
    longest = ''
    for i in range(1, m + 1):
        for j in range(1, n + 1):
            if s1[i - 1] == s2[j - 1]:
                dp[i][j] = dp[i - 1][j - 1] + 1
                if dp[i][j] > len(longest):
                    longest = s1[i - dp[i][j]:i]
    return longest"
Implement a binary search algorithm to find the position of a specific value in a sorted list.,"Input: [1, 3, 5, 7, 9], 5; Output: 2","We compare the middle element of the list with the target value. If they are equal, we return the index. If the target value is less than the middle element, we repeat the process on the left half of the list. If the target value is greater than the middle element, we repeat the process on the right half of the list.","def binary_search(arr, target):
    left, right = 0, len(arr) - 1
    while left <= right:
        mid = (left + right) // 2
        if arr[mid] == target:
            return mid
        elif arr[mid] < target:
            left = mid + 1
        else:
            right = mid - 1
    return -1

    arr = [1, 3, 5, 7, 9]
    target = 5
    print(binary_search(arr, target))"
Luba wants to find the longest path in a directed graph without negative cycles. The graph is represented as an adjacency list. Find the longest path in the graph.,"Input: [[0, 1, -1], [1, 2, 3], [-1, 3, 0]]
Output: 3","To find the longest path in the graph, we can use Depth-First Search (DFS) with a time limit. We initialize the time limit to -1 (indicating no path found yet). For each node, we run DFS and update the time limit if we find a longer path. In the example, the longest path is from node 0 to node 2 with a length of 3.","```python
from collections import defaultdict

def dfs(node, graph, visited, time_limit, current_time):
    visited[node] = True
    for neighbor in graph[node]:
        if not visited[neighbor]:
            new_time_limit = max(time_limit, current_time + 1)
            dfs(neighbor, graph, visited, new_time_limit, current_time + 1)
    time_limit = max(time_limit, current_time)

graph = defaultdict(list)
visited = [False] * len(graph)

# Add edges to the graph
# ...

# Run DFS on the graph
dfs(0, graph, visited, -1, 0)
print(time_limit)```"
"Given a one-dimensional array representing a maze, find the shortest path from the top-left corner (start) to the bottom-right corner (end) using a pointer-based algorithm.","Input: [[0, 1, 0], [1, 1, 1], [0, 1, 0]]; Output: [(0, 0), (0, 1), (1, 1), (1, 2), (2, 2)]","1. Initialize the start and end positions, and a list to store the path.
2. Implement a BFS (Breadth-First Search) algorithm using a pointer to explore the maze from the start position.
3. At each step, move the pointer to the adjacent unvisited cell with the shortest distance (or 1 if it's the first visit).
4. When the end position is reached, return the path.","import collections

# @profile
def shortest_path(maze):
    start, end = (0, 0), (len(maze) - 1, len(maze[0]) - 1)
    queue = collections.deque([(start, [start])])
    visited = set()
    visited.add(start)
    while queue:
        pos, path = queue.popleft()
        if pos == end:
            return path
        for dp in [(0, 1), (1, 0), (0, -1), (-1, 0)]:
            x, y = pos[0] + dp[0], pos[1] + dp[1]
            if 0 <= x < len(maze) and 0 <= y < len(maze[0]) and maze[x][y] == 0 and (x, y) not in visited:
                visited.add((x, y))
                queue.append(((x, y), path + [(x, y)]))
    return None

maze = [[0, 1, 0], [1, 1, 1], [0, 1, 0]]
print(shortest_path(maze))"
Implement Breadth-First Search (BFS) to find the shortest path between two nodes in an undirected graph. The graph is represented as an adjacency list.,"Input: [[1, 2, 3], [0, 2, 4], [0, 1, 3], [2, 3, 4]]
Start node: 0
End node: 4
Output: 3",BFS is a graph traversal algorithm that explores all the vertices of a graph in breadth-first order. It starts from a source vertex and explores all the neighboring vertices at the current depth before moving on to vertices at the next depth level. The shortest path between two nodes is found by keeping track of the shortest distance from the source to each vertex.,"```python
from collections import deque

def bfs(graph, start, end):
    visited = set()
    queue = deque([(start, [start])])
    while queue:
        node, path = queue.popleft()
        if node == end:
            return len(path) - 1
        for neighbor in graph[node]:
            if neighbor not in visited:
                visited.add(neighbor)
                queue.append((neighbor, path + [neighbor]))
    return -1
```"
"Given a singly linked list, reverse the list using a pointer. The list will have an odd number of nodes.",Input: 1 -> 2 -> 3 -> None; Output: 3 -> 2 -> 1 -> None,"To reverse the list, we need to traverse the list and swap the next and previous nodes until we reach the middle of the list. Then, we need to return the new head of the list.","```python
class ListNode: 
    def __init__(self, val=0, next=None): 
        self.val = val 
        self.next = next

def reverse_list(head: ListNode) -> ListNode:
    reversed_head = None
    current = head
    while current is not None:
        next_node = current.next
        current.next = reversed_head
        reversed_head = current
        current = next_node
    return reversed_head
```"
"Given a list of integers, find the count of pairs that sum up to a given target number.","Input: [1, 2, 3, 4, 5], 7; Output: 2","To find the count of pairs that sum up to a given target number, we can use a hash table (dictionary) to store the frequency of each number in the list. For each number in the list, we check if the difference between the number and the target number is in the hash table. If it is, we increment the count by 1. At the end, we return the count.","```python
numbers = list(map(int, input().split()))
target = int(input())
hash_table = {} 
count = 0

for number in numbers:
    if number in hash_table:
        count += hash_table[number]
    else:
        hash_table[target - number] = numbers.count(number) 
print(count)```"
Write a program to count the number of unique elements in a list that appear more than n times in the list.,"Input: [1, 2, 2, 3, 3, 3, 4, 4, 4, 4, 5]; n = 2
Output: 4","The solution involves using a dictionary to count the frequency of each element in the list. Then, it iterates through the dictionary to find the elements that appear more than n times and counts their number.","```python
from collections import Counter

input_list, n = map(int, input().split())
counts = Counter(input_list)
result = sum(1 for element in counts.elements() if counts[element] > n)
print(result)``"
Implement Breadth-First Search (BFS) algorithm to find the shortest path between two nodes in a graph. The graph is represented as an adjacency list.,"Input: graph = {
    'A': ['B', 'C'],
    'B': ['A', 'D', 'E'],
    'C': ['A', 'F'],
    'D': ['B'],
    'E': ['B', 'F'],
    'F': ['C', 'E']
}; start = 'A'; end = 'F'; Output: 3","The BFS algorithm explores the graph by starting at the root node and visiting all of its neighbors before moving on to their unvisited neighbors. It uses a queue to keep track of the nodes to be visited next. In this problem, we want to find the shortest path between two nodes in a graph. We start at the root node and explore the graph until we reach the destination node, keeping track of the number of edges traversed.","from collections import deque

def bfs(graph, start, end):
    visited = set()
    queue = deque([(start, [start])])
    while queue:
        (node, path), _ = queue.popleft()
        if node == end:
            return len(path) - 1
        for neighbor in graph[node]:
            if neighbor not in visited:
                visited.add(neighbor)
                queue.append((neighbor, path + [neighbor]))
    return -1

graph = {
    'A': ['B', 'C'],
    'B': ['A', 'D', 'E'],
    'C': ['A', 'F'],
    'D': ['B'],
    'E': ['B', 'F'],
    'F': ['C', 'E']
}
start = 'A'
end = 'F'
print(bfs(graph, start, end))"
Implement Breadth-First Search (BFS) to find the shortest path between two nodes in a graph.,"Input: Adjacency List: [[1, 2, 3], [0, 2], [0, 3, 4], [1, 3, 5], [2, 4], [3, 5]]; Start Node: 0; End Node: 4; Output: [0, 1, 3, 4]",BFS is a graph traversal algorithm that explores all the vertices of a graph in breadth-first order. It starts from a source vertex and explores all the adjacent vertices at the current depth before moving on to vertices at the next depth level. The algorithm uses a queue to keep track of the vertices to be visited.,"```python
from collections import deque

class Graph:
    def __init__(self, vertices):
        self.graph = [[0 for _ in range(vertices)] for _ in range(vertices)]

    def add_edge(self, u, v):
        self.graph[u].append(v)

    def bfs(self, source, destination):
        visited = [False] * len(self.graph)
        queue = deque()
        queue.append(source)
        visited[source] = True
        while queue:
            current = queue.popleft()
            if current == destination:
                return self._get_path(visited, source, current)
            for neighbor in self.graph[current]:
                if not visited[neighbor]:
                    visited[neighbor] = True
                    queue.append(neighbor)
        return None

    def _get_path(self, visited, start, end):
        path = []
        while start != end:
            path.append(start)
            start = visited.index(start)
        path.append(end)
        return path[::-1]

# Test the BFS algorithm
graph = Graph(6)
graph.add_edge(0, 1)
graph.add_edge(0, 3)
graph.add_edge(1, 2)
graph.add_edge(1, 3)
graph.add_edge(1, 5)
graph.add_edge(2, 4)
graph.add_edge(3, 4)
path = graph.bfs(0, 4)
print(path)```"
Write a function that counts the number of unique elements in a list using a set data structure.,"Input: [1, 2, 2, 3, 4, 4, 5]; Output: 4",We can use a set to store unique elements and then count the number of elements in the set to find the number of unique elements in the list.,"def count_unique(lst):
    unique_set = set(lst)
    return len(unique_set)"
Implement Breadth-First Search (BFS) to find the shortest path between two nodes in an undirected graph with weighted edges.,"Input: adjacency list of a graph with 5 nodes and weights for edges:
[[0, 2, 0, 10, 0],
 [2, 0, 3, 5, 0],
 [0, 3, 0, 0, 7],
 [10, 5, 0, 0, 2],
 [0, 0, 7, 2, 0]]
Start node: 0
End node: 4
Output: The shortest path is [0, 1, 3, 4] and its length is 3.",BFS is a graph traversal algorithm that explores all the vertices of a graph in breadth-first order. It starts from a source vertex and explores all the neighboring vertices at the current depth before moving on to the vertices at the next depth level. The algorithm maintains a queue to keep track of the vertices to be visited and their distances from the source vertex.,"```python
from collections import deque

class Graph: 
    def __init__(self, vertices): 
        self.graph = [[0 for column in range(vertices)] for row in range(vertices)]
    
    def add_edge(self, u, v, w): 
        self.graph[u][v] = w
        self.graph[v][u] = w
    
    def bfs(self, s, d): 
        queue = deque()
        visited = [False] * (len(self.graph))
        parent = [-1] * (len(self.graph))
        queue.append(s)
        visited[s] = True
        while queue:
            current = queue.popleft()
            if current == d:
                path = []
                while current != -1:
                    path.append(current)
                    current = parent[current]
                return path[::-1], len(path) - 1
            for neighbor in range(len(self.graph)):
                if self.graph[current][neighbor] > 0 and not visited[neighbor]:
                    queue.append(neighbor)
                    visited[neighbor] = True
                    parent[neighbor] = current
        return [], -1

# Test the BFS algorithm
graph = Graph(5)
graph.add_edge(0, 1, 2)
graph.add_edge(1, 2, 3)
graph.add_edge(2, 0, 2)
graph.add_edge(0, 3, 5)
graph.add_edge(3, 4, 7)
graph.add_edge(4, 1, 1)
path, length = graph.bfs(0, 4)
print(path, length)```"
"Given a directed graph with no cycles, find the topological sort of the graph using Depth-First Search (DFS).","Input: adjacency_list = [ [], [2, 3], [1], [1, 3], [2] ]
Output: [0, 1, 2, 3]","1. Initialize an empty list to store the topological sort. 
2. Perform a Depth-First Search (DFS) on the graph. During the DFS, mark the visited nodes and store the nodes in the order they are visited. 
3. The order of the nodes in the list is the topological sort of the graph.","from collections import defaultdict

adj_list = defaultdict(list)
visited = set()
topological_sort = []
def dfs(node):
    visited.add(node)
    for neighbor in adj_list[node]:
        if neighbor not in visited:
            dfs(neighbor)
    topological_sort.insert(0, node)

for node in adj_list:
    if node not in visited:
        dfs(node)
print(topological_sort)"
Implement Depth-First Search (DFS) to find the longest path in a directed graph with positive edge weights. The graph is represented as an adjacency list.,"Input: [[0, 1, 4], [1, 2, 4], [2, 3, 5], [3, 0, 2], [4, -1, -1]]
Output: 6","To solve this problem, we first read the input data and create an adjacency list representing the graph. Then, we define a function to perform DFS and calculate the longest path from a given node. This function uses a recursive approach to explore the graph and keep track of the longest path found so far. Finally, we initialize the start node and call the DFS function to find the longest path in the graph.","def read_data():
    data = list(map(list, list(input().strip().split(']['))))
    graph = [[] for _ in range(len(data))]
    for i, nodes in enumerate(data):
        for node in nodes[1:-1]:
            graph[i].append((node, data[node][i]))
    return graph

def dfs(node, parent, dist, path):
    if not graph[node]:
        return dist
    max_dist = dist
    for neighbor, weight in graph[node]:
        if neighbor != parent:
            new_dist = dfs(neighbor, node, dist + weight, path + [node])
            if new_dist > max_dist:
                max_dist = new_dist
    return max_dist

def solve():
    graph = read_data()
    max_dist = 0
    for node in range(len(graph)):
        max_dist = max(max_dist, dfs(node, -1, 0, [node]))
    return max_dist

graph = solve()
print(graph)"
Implement Breadth-First Search (BFS) algorithm to find the shortest path between two nodes in an undirected graph with weighted edges.,"Input: adjacency list representation of the graph and source and destination nodes.
Output: The shortest path between the source and destination nodes.","We can solve this problem by using a queue to explore the graph level by level. At each level, we visit all the unvisited neighbors of the current node and update the distance to them. We keep track of the shortest path to each node and return the shortest path to the destination node.","```python
from collections import deque

def bfs(graph, start, end):
    visited = set()
    queue = deque([(start, [start])])
    while queue:
        node, path = queue.popleft()
        if node == end:
            return path
        visited.add(node)
        for neighbor, weight in graph[node].items():
            if neighbor not in visited:
                queue.append((neighbor, path + [neighbor]))
    return None
```"
Write a recursive function to find the Fibonacci number at the nth position in a Fibonacci sequence.,Input: 7; Output: 13,"The Fibonacci sequence is a series of numbers in which each number is the sum of the two preceding ones, usually starting with 0 and 1. To find the nth Fibonacci number, we can use a recursive function that calls itself with n-1 and n-2 until we reach the base cases of 0 and 1.","def fibonacci(n):
    if n <= 1:
        return n
    else:
        return fibonacci(n-1) + fibonacci(n-2)"
"Given a list of integers, sort the list using the bubble sort algorithm and find the index of the middle element (if the list has an odd number of elements) or the average of the two middle elements (if the list has an even number of elements).","Input: [3, 5, 1, 2, 4, 6]
Output: 3 (for odd number of elements) or (3 + 4) / 2 = 3.5 (for even number of elements)","We can solve this problem by implementing the bubble sort algorithm to sort the list, and then finding the middle element (or the average of the two middle elements) based on the number of elements in the sorted list.","```python

numbers = list(map(int, input().split()))

# Bubble sort
for i in range(len(numbers) - 1):
    for j in range(len(numbers) - i - 1):
        if numbers[j] > numbers[j + 1]:
            numbers[j], numbers[j + 1] = numbers[j + 1], numbers[j]

# Find the middle element (or the average of the two middle elements)
if len(numbers) % 2 == 1:
    middle_index = len(numbers) // 2
else:
    middle_index1 = (len(numbers) - 1) // 2
    middle_index2 = middle_index1 + 1
    middle_element = (numbers[middle_index1] + numbers[middle_index2]) / 2
print(middle_element)
```"
Implement a binary search algorithm to find the position of a target number in a sorted list.,"Input: [1, 3, 5, 7, 9], target=3
Output: 1","The binary search algorithm works by repeatedly dividing the search interval in half. If the target is equal to the middle element, we return its index. If the target is less than the middle element, we search in the lower half. If the target is greater than the middle element, we search in the upper half. We repeat this process until we find the target or the search interval is empty.","```python
def binary_search(arr, target):
    left, right = 0, len(arr) - 1
    while left <= right:
        mid = (left + right) // 2
        if arr[mid] == target:
            return mid
        elif arr[mid] < target:
            left = mid + 1
        else:
            right = mid - 1
    return -1
```"
"Given a list of integers, find the number of unique pairs of indices (i, j) such that the absolute difference between the elements at indices i and j is exactly k. The list contains no duplicates.","Input: [1, 2, 3, 4, 5], k = 3
Output: 2","We can solve this problem by iterating through the list and for each element, we find the elements that have an absolute difference of k. We store the indices of these elements in a set and check if the set contains a pair of indices (i, j) such that i < j. If such a pair is found, we increment a counter. At the end, we return the counter.","from collections import defaultdict

N, k = map(int, input().split())
nums = list(map(int, input().split()))

count = 0
indices = defaultdict(set)

for num in nums:
    for i in range(num - k, num + k + 1):
        if i >= 0 and i < N and i not in indices[num]:
            indices[num].add(i)
            if i in indices and i + 1 not in indices[num]:
                count += 1

print(count)"
Implement a binary search algorithm to find the position of a specific value in a sorted list. The list can contain duplicate values.,"Input: [1, 1, 2, 2, 3, 4, 4, 4, 5]; Output: 7 (index of 5)","The binary search algorithm works by repeatedly dividing the search interval in half. If the value of the search key is less than the item in the middle of the interval, the algorithm continues to search in the lower half. Otherwise, it continues in the upper half. This process continues until the value is found or the search interval is empty.","```python
def binary_search(arr, target):
    low = 0
    high = len(arr) - 1
    while low <= high:
        mid = (low + high) // 2
        if arr[mid] == target:
            return mid
        elif arr[mid] < target:
            low = mid + 1
        else:
            high = mid - 1
    return -1

arr = [1, 1, 2, 2, 3, 4, 4, 4, 5]
target = 5
print(binary_search(arr, target))```"
Sort a list of numbers using the Merge Sort algorithm.,"Input: [4, 3, 2, 1, 5]
Output: [1, 2, 3, 4, 5]","Merge Sort is a divide-and-conquer algorithm that works by recursively dividing the input list into smaller sublists until each sublist contains only one element, then merging the sublists back together in sorted order. This algorithm has a time complexity of O(n log n).","```python
def merge_sort(arr):
    if len(arr) <= 1:
        return arr
    mid = len(arr) // 2
    left = merge_sort(arr[:mid])
    right = merge_sort(arr[mid:])
    return merge(left, right)

def merge(left, right):
    result = []
    i = j = 0
    while i < len(left) and j < len(right):
        if left[i] < right[j]:
            result.append(left[i])
            i += 1
        else:
            result.append(right[j])
            j += 1
    result += left[i:]
    result += right[j:]
    return result

arr = [4, 3, 2, 1, 5]
print(merge_sort(arr))```"
Implement a pointer-based algorithm to find the first non-repeating character in a string.,Input: 'abcabc'; Output: 'a',"We can use two pointers, one moving through the string and another keeping track of the last occurrence of each character. If the current character is different from the character at the last occurrence pointer, we print the current character and update the last occurrence pointer. If the current character is the same as the character at the last occurrence pointer, we move the current pointer to the next character.","def first_non_repeating(s):
    last_occurrence = {} 
    for i, char in enumerate(s):
        if char in last_occurrence:
            last_occurrence[char] = i
        else:
            last_occurrence[char] = -1
    for i, char in enumerate(s):
        if last_occurrence[char] == -1 or i != last_occurrence[char]:
            return char"
"Given a list of integers, find the count of pairs that have a difference of k.","Input: [1, 5, 3, 4, 2]; k = 2; Output: 2","We can use a counter to keep track of the frequency of each number in the list. Then, we iterate through the list and for each number, we check if there exists another number with a difference of k. If we find such a pair, we increment the count.","```python
from collections import Counter

k = int(input())
numbers = list(map(int, input().split()))
counter = Counter(numbers)
count = 0

for number in numbers:
    if (number + k) in counter and number != (number + k):
        count += 1
print(count)```"
Implement a pointer-based algorithm to find the kth smallest element in a sorted and rotated array.,"Input: [4, 5, 6, 1, 2, 3] (rotated to [5, 6, 1, 2, 3, 4]); k = 3
Output: 2","We use two pointers, slow and fast, to traverse the array. The slow pointer moves one step at a time, while the fast pointer moves k steps at a time. If the fast pointer goes out of bounds, we reset it to the beginning of the array. When the fast pointer catches up with the slow pointer, the kth smallest element is the value at the slow pointer. If k is greater than the length of the array, we return None.","```python

def kth_smallest(arr, k):
    if len(arr) < k:
        return None
    slow, fast = 0, k - 1
    while True:
        if arr[slow] < arr[fast]:
            if fast == len(arr) - 1:
                return arr[slow]
            fast += 1
        else:
            arr[slow], arr[fast] = arr[fast], arr[slow]
            slow += 1
            if fast == len(arr) - 1:
                fast = 0

# Test
arr = [4, 5, 6, 1, 2, 3]
k = 3
print(kth_smallest(arr, k))```"
Implement Breadth-First Search (BFS) to find the shortest path between two nodes in a graph.,"Input: Adjacency list representation of a graph:
{
    'A': ['B', 'C'],
    'B': ['A', 'D', 'E'],
    'C': ['A', 'F'],
    'D': ['B'],
    'E': ['B', 'F'],
    'F': ['C', 'E']
} 
Start node: 'A', End node: 'F'
Output: [['A', 'C'], ['C', 'F']]","1. Initialize a queue `q` and a dictionary `visited` to keep track of visited nodes.
2. Add the start node to the queue and mark it as visited.
3. While the queue is not empty, dequeue a node, check its neighbors, and enqueue the unvisited neighbors.
4. Continue this process until the end node is dequeued.
5. The shortest path is the list of nodes from the start node to the end node.","from collections import deque

def bfs(graph, start, end):
    q = deque([start])
    visited = {start: True}
    path = []
    while q:
        current = q.popleft()
        if current == end:
            path = list(reversed(path))
            return path
        for neighbor in graph[current]:
            if neighbor not in visited:
                q.append(neighbor)
                visited[neighbor] = True
                path.append(neighbor)
    return None

graph = {
    'A': ['B', 'C'],
    'B': ['A', 'D', 'E'],
    'C': ['A', 'F'],
    'D': ['B'],
    'E': ['B', 'F'],
    'F': ['C', 'E']
}
start = 'A'
end = 'F'
print(bfs(graph, start, end))"
Implement a binary search algorithm to find the position of a target number in a sorted array. The array contains unique numbers.,"Input: [1, 3, 5, 7, 9], target=5; Output: 3","Binary search is an efficient search algorithm that works by repeatedly dividing the search interval in half. If the target is equal to the middle element, we return its index. If the target is less than the middle element, we search in the lower half. If the target is greater than the middle element, we search in the upper half.","```python
def binary_search(arr, target):
    left, right = 0, len(arr) - 1
    while left <= right:
        mid = (left + right) // 2
        if arr[mid] == target:
            return mid
        elif arr[mid] < target:
            left = mid + 1
        else:
            right = mid - 1
    return -1
```"
"Implement Depth-First Search (DFS) to find a path in a directed graph from a source node to a target node. The graph is represented as an adjacency list. The DFS should return True if there is a path from the source to the target, and False otherwise.","Input: {
    'A': [B, C],
    'B': [A, D],
    'C': [A, D, E],
    'D': [B, C, F],
    'E': [C],
    'F': [D]
} source='A', target='F'
Output: True","The DFS algorithm explores the graph by visiting each node and its adjacent nodes recursively. It starts from the source node and checks if the target node is visited. If the target node is visited, the DFS returns True. If the target node is not visited, the DFS recursively explores the adjacent nodes of the current node. If all adjacent nodes are explored and the target node is not visited, the DFS returns False.","```python
from collections import defaultdict

def dfs(graph, source, target):
    visited = set()
    def dfs_helper(node):
        if node == target:
            return True
        if node in visited:
            return False
        visited.add(node)
        for neighbor in graph[node]:
            if dfs_helper(neighbor):
                return True
        visited.remove(node)
        return False
    return dfs_helper(source)

# Example usage:
graph = defaultdict(list)
# ... (fill the graph with edges)
print(dfs(graph, 'A', 'F'))```"
